method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,selected_classifier_epoch,selected_dsls_epoch,selected_csda_epoch,selected_icdm_epoch,threshold_hc,dsls_singular1,dsls_singular2,dsls_singular3,dsls_shared_energy_fraction,dsls_asd_score_mean,dsls_asd_score_std,dsls_hc_score_mean,dsls_hc_score_std,dsls_std_floor,dsls_parameter_l2,dsls_mean_abs_delta,csda_num_sites,csda_cross_site_positive_pairs,csda_cross_site_same_y_cos,csda_same_site_same_y_cos,csda_opposite_y_cos,csda_site_retrieval_accuracy,csda_profile_std_floor,csda_projection_l2,csda_head_l2,csda_mean_abs_delta,icdm_mean_abs_roi_prompt,icdm_mean_abs_edge_log_gate,icdm_mean_edge_factor,icdm_std_edge_factor,icdm_factor_min,icdm_factor_max,icdm_fraction_gt1,icdm_mean_abs_fc_change,icdm_down_l2,icdm_up_l2,task_seconds,n_test,status
baseline,internal_fold,3,8,0.7758173326414115,0.5884709298917863,0.7216494845360825,0.6894135962636222,34.0,26.0,nan,nan,nan,0.451941579580307,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,478.3368282318115,88,PASS
dsls,internal_fold,3,8,0.7758173326414115,0.5884709271836659,0.7216494845360825,0.6894135962636222,34.0,26.0,0.0,nan,nan,0.4519415497779846,762.450439453125,704.9065551757812,551.7953491210938,0.04561331495642662,-0.22498635947704315,1.399092674255371,2.607311557767389e-07,0.9999837279319763,0.01919599771499634,2.0742712020874023,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,478.3368282318115,88,PASS
csda,internal_fold,3,8,0.7597301504929943,0.6025912866288963,0.7142857142857144,0.6772184743124027,34.0,26.0,nan,134.0,nan,0.44025227427482605,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,206330.0,0.11054333299398422,0.13231343030929565,-0.09110536426305771,0.38872402906417847,0.0013928738422691823,8.310832023620605,0.9694312214851379,0.3290712237358093,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,478.3368282318115,88,PASS
icdm,internal_fold,3,8,0.7758173326414115,0.5884709271836659,0.7216494845360825,0.6894135962636222,34.0,26.0,nan,nan,0.0,0.4519415497779846,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.555638313293457,0.0,478.3368282318115,88,PASS
baseline,internal_fold,3,9,0.64193046185781,0.6723937750789701,0.6021505376344086,0.5783601453035807,11.0,32.0,nan,nan,nan,0.4746273458003998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,380.81762742996216,88,PASS
dsls,internal_fold,3,9,0.6440062272963154,0.6759828022124845,0.679245283018868,0.6024909185262065,11.0,32.0,38.0,nan,nan,0.5610138773918152,755.689453125,662.9404296875,565.8314819335938,0.045504093170166016,0.543755829334259,1.3577442169189453,4.011248222468566e-09,0.9999833703041077,0.020313395559787752,1.9253714084625244,0.0626038983464241,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,380.81762742996216,88,PASS
csda,internal_fold,3,9,0.65905552672548,0.6718530539805879,0.5,0.5542293720809549,11.0,32.0,nan,134.0,nan,0.3651154637336731,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,206732.0,0.08766871690750122,0.0964076817035675,-0.07093213498592377,0.33086052536964417,0.001427939161658287,8.1670503616333,0.943829357624054,0.2938661277294159,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,380.81762742996216,88,PASS
icdm,internal_fold,3,9,0.64193046185781,0.6800275053531226,0.6021505376344086,0.5783601453035807,11.0,32.0,nan,nan,127.0,0.47186148166656494,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.09744330495595932,0.09664083272218704,1.1014823913574219,0.012020222842693329,0.9048416018486023,1.1051709651947021,0.9991520643234253,0.01822461374104023,8.71094036102295,6.326263427734375,380.81762742996216,88,PASS
baseline,internal_oof,3,all,0.7393514099223446,0.5983638077703407,0.665158371040724,0.6665823895152343,32.3,42.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,549.3334988594055,882,PASS
dsls,internal_oof,3,all,0.7379634168365108,0.6002210570996607,0.6805251641137856,0.6691210237093986,32.3,42.2,37.0,nan,nan,nan,778.52177734375,680.2996765136719,585.8744201660156,0.04784149825572968,0.12827379629015923,1.331847894191742,3.0520586804527736e-07,0.99998340010643,0.01916967496275902,2.0710548162460327,0.04382385052740574,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,549.3334988594055,882,PASS
csda,internal_oof,3,all,0.7359098062485487,0.6019327888563073,0.6397228637413395,0.649585923995769,32.3,42.2,nan,82.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.9,206706.8,0.05085694557055831,0.06928661577403546,-0.03935551649992704,0.2936201751232147,0.001322323875501752,8.03832221031189,0.5528359388932585,0.15884104813449085,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,549.3334988594055,882,PASS
icdm,internal_oof,3,all,0.7384536002683109,0.5998336201880676,0.665911664779162,0.6677872087923429,32.3,42.2,nan,nan,39.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029820328438654543,0.029631115961819887,1.0310914516448975,0.004267200827598572,0.9680740177631378,1.0383103489875793,0.3967685878276825,0.0053601360879838465,6.479392862319946,1.9353854060173035,549.3334988594055,882,PASS
baseline,caltech,3,external,0.6228070175438596,0.6756437480978903,0.5714285714285715,0.5102339181286549,8.0,61.0,nan,nan,nan,0.558918833732605,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,195.07025289535522,37,PASS
dsls,caltech,3,external,0.6228070175438596,0.6756437486994518,0.5714285714285715,0.5102339181286549,8.0,61.0,0.0,nan,nan,0.558918833732605,849.5966796875,686.4591674804688,654.9813232421875,0.04847133532166481,0.4506620466709137,1.31159245967865,-2.0709818215891573e-07,0.999976634979248,0.018377329409122466,1.9893752336502075,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,195.07025289535522,37,PASS
csda,caltech,3,external,0.6169590643274854,0.694731210963673,0.5714285714285714,0.5964912280701754,8.0,61.0,nan,149.0,nan,0.49746641516685486,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,285604.0,0.07273587584495544,0.08055443316698074,-0.05348772183060646,0.43001261353492737,0.0012690586969256402,8.091629028320312,1.0294829607009888,0.2954409122467041,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,195.07025289535522,37,PASS
icdm,caltech,3,external,0.6198830409356726,0.6805160279650192,0.5714285714285715,0.5102339181286549,8.0,61.0,nan,nan,20.0,0.5571013689041138,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02006904035806656,0.019811607897281647,1.020167589187622,0.0211082324385643,0.9089539051055908,1.1049484014511108,0.9844421744346619,0.0035686353221535683,5.884162902832031,1.5729304552078247,195.07025289535522,37,PASS
baseline,abide2,3,external,0.7389281326781327,0.5983975114891102,0.7393258426966292,0.6635519041769042,8.0,61.0,nan,nan,nan,0.558918833732605,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,195.07025289535522,727,PASS
dsls,abide2,3,external,0.7389281326781327,0.5983975112805432,0.7393258426966292,0.6635519041769042,8.0,61.0,0.0,nan,nan,0.558918833732605,849.5966796875,686.4591674804688,654.9813232421875,0.04847133532166481,0.4506620466709137,1.31159245967865,-2.0709818215891573e-07,0.999976634979248,0.018377329409122466,1.9893752336502075,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,195.07025289535522,727,PASS
csda,abide2,3,external,0.7431664619164619,0.6011185741878357,0.7120291616038883,0.6677633599508599,8.0,61.0,nan,149.0,nan,0.49746641516685486,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,285604.0,0.07273587584495544,0.08055443316698074,-0.05348772183060646,0.43001261353492737,0.0012690586969256402,8.091629028320312,1.0294829607009888,0.2954409122467041,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,195.07025289535522,727,PASS
