method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,selected_classifier_epoch,selected_crsm_epoch,threshold_hc,n_experts,temperature,hc_centroid_norm,pca_unit_norm,pca_singular_value,sigma_margin,sigma_projection,symmetry_ratio,symmetry_scale,initial_delta_l2,expert_1_mean_mass,expert_2_mean_mass,expert_1_hard_fraction,expert_2_hard_fraction,responsibility_entropy,delta_weight_1_l2,delta_weight_2_l2,delta_weight_cosine,delta_bias_1,delta_bias_2,task_seconds,n_test,status
control_referenced_soft_multiboundary,internal_fold,7,2,0.7116977225672878,0.6220769612261187,0.702127659574468,0.6801242236024845,42.0,36.0,0.0,0.4799637794494629,2.0,1.0,24.915481567382812,1.0,151.01817321777344,1.5247339010238647,7.446699142456055,0.01,0.00204752990975976,0.0028956448659300804,0.501573383808136,0.498426616191864,0.48516321182250977,0.5148367881774902,0.6930498480796814,0.00204752990975976,0.00204752990975976,-1.0,0.0,0.0,433.7556324005127,88,PASS
baseline,internal_fold,7,3,0.7339544513457558,0.6260895932657714,0.7058823529411765,0.6532091097308489,48.0,86.0,nan,0.5617620348930359,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,347.19595193862915,88,PASS
control_referenced_soft_multiboundary,internal_fold,7,3,0.7339544513457558,0.6276176617836223,0.693069306930693,0.6423395445134576,48.0,86.0,1.0,0.5355052351951599,2.0,1.0,22.91017723083496,1.0,156.2281036376953,2.47764253616333,8.129085540771484,0.01,0.0030478734988719225,0.004310344345867634,0.5012637376785278,0.49873629212379456,0.41988131403923035,0.580118715763092,0.6928698420524597,0.014225959777832031,0.013604541309177876,0.8714284896850586,-4.99987363582477e-05,-4.999889642931521e-05,347.1959481239319,88,PASS
baseline,internal_fold,7,4,0.6909937888198758,0.6326530076642722,0.5647058823529412,0.5822981366459627,28.0,41.0,nan,0.3951532542705536,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,231.59046244621277,88,PASS
control_referenced_soft_multiboundary,internal_fold,7,4,0.6909937888198758,0.6326429116475588,0.5647058823529412,0.5822981366459627,28.0,41.0,0.0,0.39504531025886536,2.0,1.0,24.895532608032227,1.0,146.14060974121094,1.581865906715393,7.3648457527160645,0.01,0.002147860126569867,0.003037533024325967,0.5013428330421448,0.49865713715553284,0.461424320936203,0.5385756492614746,0.6930427551269531,0.002147860359400511,0.002147860359400511,-0.9999998807907104,0.0,0.0,231.59045934677124,88,PASS
baseline,internal_fold,7,5,0.6953814218993255,0.6477902764629594,0.674698795180723,0.7003113648157758,33.0,30.0,nan,0.42057353258132935,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,260.3927638530731,88,PASS
control_referenced_soft_multiboundary,internal_fold,7,5,0.6953814218993255,0.6477969843972429,0.674698795180723,0.7003113648157758,33.0,30.0,0.0,0.4205726683139801,2.0,1.0,23.814756393432617,1.0,145.6136474609375,1.2548185586929321,7.70650053024292,0.01,0.0016282597789540887,0.002302706940099597,0.49997714161872864,0.5000228881835938,0.6275964379310608,0.3724035620689392,0.6930843591690063,0.0016282597789540887,0.0016282597789540887,-1.0,0.0,0.0,260.392760515213,88,PASS
baseline,internal_fold,7,6,0.8303061754021795,0.5359683352024329,0.6666666666666666,0.701868188894655,27.0,25.0,nan,0.4003104567527771,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,236.26325464248657,88,PASS
control_referenced_soft_multiboundary,internal_fold,7,6,0.8303061754021795,0.5359710253845651,0.6666666666666666,0.701868188894655,27.0,25.0,0.0,0.4002993106842041,2.0,1.0,23.972576141357422,1.0,158.4094696044922,1.2777515649795532,7.300603866577148,0.01,0.0017501998227089643,0.0024751564487814903,0.5019099116325378,0.49809005856513977,0.5578634738922119,0.4421364963054657,0.6930755376815796,0.0017501999391242862,0.0017501999391242862,-0.9999999403953552,0.0,0.0,236.26324820518494,88,PASS
baseline,internal_fold,7,7,0.7296315516346652,0.5911832615882344,0.5882352941176471,0.6074208614426571,46.0,52.0,nan,0.40436407923698425,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,452.9934687614441,88,PASS
