method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,selected_classifier_epoch,selected_residual_epoch,threshold_hc,n_modules,meta_dim,module_size_min,module_size_mean,module_size_max,singleton_modules,empty_meta_bins,affinity_mean,affinity_std,affinity_max,residual_head_l2,task_seconds,n_test,status
consensus_highorder_residual,internal_fold,3,7,0.7446808510638299,0.5829825919553794,0.6966292134831461,0.6956408925791385,25.0,47.0,0.0,0.45609861612319946,32.0,528.0,4.0,12.0,24.0,0.0,0.0,0.16630057460055797,0.04384411194887202,0.8669817447662354,0.0,193.48224020004272,88,PASS
baseline,internal_fold,3,8,0.7742605085625324,0.5896436659658875,0.7216494845360825,0.6894135962636222,34.0,25.0,nan,0.4518509805202484,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,311.27294540405273,88,PASS
consensus_highorder_residual,internal_fold,3,8,0.7732226258432797,0.5877928708348855,0.7291666666666666,0.7016087182148417,34.0,25.0,25.0,0.4479624927043915,32.0,528.0,5.0,12.0,22.0,0.0,0.0,0.16671182293791584,0.041094267594627226,0.7938897013664246,0.028340110555291176,311.272944688797,88,PASS
baseline,internal_fold,3,9,0.6414115204981837,0.672032705239266,0.6021505376344086,0.5783601453035807,11.0,32.0,nan,0.4742683470249176,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,196.50926852226257,88,PASS
consensus_highorder_residual,internal_fold,3,9,0.6434872859366891,0.6749797605206663,0.6666666666666665,0.5918526206538661,11.0,32.0,28.0,0.5439173579216003,32.0,528.0,7.0,12.0,23.0,0.0,0.0,0.1797719533722183,0.04825357003153128,0.8103646039962769,0.0314079225063324,196.50926661491394,88,PASS
baseline,internal_oof,3,all,0.7398828719589278,0.5982358134445732,0.6719101123595506,0.6707308892959418,32.3,42.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,882,PASS
consensus_highorder_residual,internal_oof,3,all,0.7401821418436058,0.5987335635193421,0.6807095343680709,0.6744769226800134,32.3,42.2,37.6,nan,32.0,528.0,4.8,12.0,23.4,0.0,0.0,0.16745422671020038,0.04331073441368932,0.8325039148330688,0.039478260837495324,nan,882,PASS
baseline,caltech,3,external,0.6257309941520468,0.6753678560032773,0.5714285714285715,0.5102339181286549,8.0,61.0,nan,0.5578062534332275,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,252.81478834152222,37,PASS
baseline,abide2,3,external,0.7387899262899262,0.5984653061142932,0.741826381059752,0.6682394041769042,8.0,61.0,nan,0.5578062534332275,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,252.81478834152222,727,PASS
consensus_highorder_residual,caltech,3,external,0.6257309941520468,0.6753678535096795,0.5714285714285715,0.5102339181286549,8.0,61.0,0.0,0.5578062534332275,32.0,528.0,8.0,12.0,19.0,0.0,0.0,0.16689351113315337,0.05240937724994837,0.7992260456085205,0.0,252.81478762626648,37,PASS
consensus_highorder_residual,abide2,3,external,0.7387899262899262,0.5984653079055087,0.741826381059752,0.6682394041769042,8.0,61.0,0.0,0.5578062534332275,32.0,528.0,8.0,12.0,19.0,0.0,0.0,0.16689351113315337,0.05240937724994837,0.7992260456085205,0.0,252.81478762626648,727,PASS
baseline,internal_fold,4,0,0.6889564336372846,0.6420076003726684,0.5853658536585366,0.6243667679837892,41.0,49.0,nan,0.35526713728904724,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,452.48672890663147,89,PASS
consensus_highorder_residual,internal_fold,4,0,0.6980749746707194,0.6430397852138094,0.5853658536585366,0.6243667679837892,41.0,49.0,114.0,0.3388921320438385,32.0,528.0,5.0,12.0,26.0,0.0,0.0,0.1649098766410806,0.041537219069633424,0.7937901616096497,0.11964042484760284,452.48672795295715,89,PASS
baseline,internal_fold,4,1,0.7107396149949342,0.6191367388591631,0.575,0.6256332320162107,37.0,48.0,nan,0.3421995937824249,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,316.562846660614,89,PASS
consensus_highorder_residual,internal_fold,4,1,0.71580547112462,0.6265017454304783,0.5999999999999999,0.648176291793313,37.0,48.0,80.0,0.3295958936214447,32.0,528.0,3.0,12.0,20.0,0.0,0.0,0.16060857850960167,0.043855319111491396,0.7914857864379883,0.08695382624864578,316.5628457069397,89,PASS
baseline,internal_fold,4,2,0.7272256728778468,0.600814203232349,0.7000000000000001,0.6542443064182195,46.0,47.0,nan,0.4950565993785858,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,311.04235768318176,88,PASS
consensus_highorder_residual,internal_fold,4,2,0.7272256728778468,0.6008142062494011,0.7000000000000001,0.6542443064182195,46.0,47.0,0.0,0.4950566291809082,32.0,528.0,5.0,12.0,29.0,0.0,0.0,0.1734354090471602,0.04101375785860563,0.7886238098144531,0.0,311.04235672950745,88,PASS
baseline,internal_fold,4,3,0.7375776397515528,0.6172102072979778,0.6024096385542168,0.6288819875776397,45.0,28.0,nan,0.3505183458328247,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,362.50660037994385,88,PASS
