method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,selected_classifier_epoch,selected_crsm_epoch,selected_snde_epoch,threshold_hc,crsm_n_experts,crsm_temperature,crsm_hc_centroid_norm,crsm_pca_unit_norm,crsm_pca_singular_value,crsm_sigma_margin,crsm_sigma_projection,crsm_symmetry_ratio,crsm_symmetry_scale,crsm_initial_delta_l2,crsm_asd_mass1,crsm_asd_mass2,crsm_asd_entropy,crsm_hc_mass1,crsm_hc_mass2,crsm_hc_entropy,crsm_delta1_l2,crsm_delta2_l2,crsm_delta_cosine,crsm_delta_bias1,crsm_delta_bias2,snde_asd_score_mean,snde_asd_score_std,snde_asd_positive_fraction,snde_asd_negative_fraction,snde_asd_generalist_fraction,snde_asd_mean_abs_correction,snde_hc_score_mean,snde_hc_score_std,snde_hc_positive_fraction,snde_hc_negative_fraction,snde_hc_generalist_fraction,snde_hc_mean_abs_correction,snde_w_pos_l2,snde_w_neg_l2,snde_b_pos,snde_b_neg,snde_positive_weight_l2,snde_negative_weight_l2,snde_parameter_l2,snde_mean_abs_correction,snde_mean_abs_positive_correction,snde_mean_abs_negative_correction,snde_pc1_explained_variance_fraction,snde_pc1_explained_fraction,snde_std_floor,snde_hc_reference_score_mean,snde_hc_reference_score_std,task_seconds,n_test,status
crsm_corrected,abide2,3,external,0.7388974201474203,0.5983567002012348,0.7401574803149605,0.6651144041769042,8.0,61.0,1.0,nan,0.5542958378791809,2.0,1.0,27.875741958618164,0.9999999403953552,147.7460174560547,1.8693501949310303,6.778748512268066,0.01,0.0027576626744121313,0.0038999237585812807,0.5035176277160645,0.4964824318885803,0.6929286122322083,0.4999997019767761,0.5000002980232239,0.6930533051490784,0.014236810617148876,0.013477127999067307,0.8923946619033813,-4.9999176553683355e-05,-4.999936209060252e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,362.1257281303406,727,PASS
selective_normative_deviation_experts,abide2,3,external,0.73125,0.6073568416746854,0.7356580427446571,0.6595324017199018,8.0,61.0,nan,9.0,0.5585553646087646,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.30436065793037415,1.3618626594543457,0.0023809524718672037,0.15714286267757416,0.8404762148857117,0.15144012868404388,6.391918994097523e-09,1.0,0.01876675710082054,0.10187667608261108,0.8793566226959229,0.08522558212280273,0.12422429025173187,0.09863479435443878,-0.007010174915194511,0.0010664064902812243,0.12422429025173187,0.09863479435443878,0.15877902507781982,0.12029507011175156,0.013430697843432426,0.10686436295509338,0.19604556262493134,0.19604556262493134,0.001225793152116239,1.0227070390556037e-07,6.8328447341918945,362.1257281303406,727,PASS
baseline,internal_fold,4,0,0.6904761904761905,0.6416680244312818,0.5783132530120482,0.6124620060790273,41.0,49.0,nan,nan,0.3571419417858124,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,297.9732840061188,89,PASS
crsm_corrected,internal_fold,4,0,0.6904761904761905,0.6416680355447433,0.5783132530120482,0.6124620060790273,41.0,49.0,0.0,nan,0.3571419417858124,2.0,1.0,22.96946144104004,1.0,161.2156982421875,1.7730783224105835,8.239119529724121,0.01,0.002152024069800973,0.003043421544134617,0.5,0.5,0.6931472420692444,0.5,0.5,0.6931471824645996,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,297.9732840061188,89,PASS
selective_normative_deviation_experts,internal_fold,4,0,0.6869300911854104,0.6469642765129238,0.5783132530120482,0.6124620060790273,41.0,49.0,nan,5.0,0.3571419417858124,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.190050408244133,1.2213042974472046,0.13445378839969635,0.002801120514050126,0.8627451062202454,0.0559210330247879,-4.512654694366347e-09,0.9999998807907104,0.10410095006227493,0.0031545741949230433,0.8927444815635681,0.058945540338754654,0.05607644468545914,0.09690576791763306,0.0013652803609147668,0.0049568843096494675,0.05607644468545914,0.09690576791763306,0.11207912862300873,0.057343535125255585,0.05717765912413597,0.00016587763093411922,0.22255797684192657,0.22255797684192657,0.001218131510540843,-8.423621977726725e-08,8.184188842773438,297.9732840061188,89,PASS
baseline,internal_fold,4,1,0.7112462006079028,0.6188733246078517,0.575,0.6256332320162107,37.0,48.0,nan,nan,0.3422378897666931,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,250.6929817199707,89,PASS
crsm_corrected,internal_fold,4,1,0.7112462006079028,0.6188733287237479,0.575,0.6256332320162107,37.0,48.0,0.0,nan,0.3422378897666931,2.0,1.0,23.31273651123047,1.0,128.14808654785156,1.7148395776748657,6.082488059997559,0.01,0.002819306217133999,0.0039871009066700935,0.5,0.5,0.6931472420692444,0.5,0.5,0.6931471824645996,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,250.6929817199707,89,PASS
selective_normative_deviation_experts,internal_fold,4,1,0.7112462006079028,0.618873330615502,0.575,0.6256332320162107,37.0,48.0,nan,0.0,0.3422378897666931,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.12371185421943665,1.2145482301712036,0.1120448186993599,0.002801120514050126,0.8851540684700012,0.0,-9.025309388732694e-09,0.9999999403953552,0.07886435836553574,0.0,0.921135663986206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20906047523021698,0.20906047523021698,0.001246049301698804,-9.626996444467295e-08,7.906892776489258,250.6929817199707,89,PASS
baseline,internal_fold,4,2,0.7277432712215322,0.6006429420877651,0.7000000000000001,0.6542443064182195,46.0,47.0,nan,nan,0.49473342299461365,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,275.77629685401917,88,PASS
crsm_corrected,internal_fold,4,2,0.7277432712215322,0.6006429416378506,0.7000000000000001,0.6542443064182195,46.0,47.0,0.0,nan,0.49473342299461365,2.0,1.0,23.0042724609375,1.0,155.94346618652344,1.8039973974227905,7.858974933624268,0.01,0.002295461483299732,0.0032462729141116142,0.5,0.5,0.6931472420692444,0.5,0.5,0.6931471824645996,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,275.77629685401917,88,PASS
