representation,scope,repeat,fold,n_subjects,disease_axis_auc,disease_geometry_gap,fingerprint_n,fingerprint_top1,fingerprint_top5,fingerprint_mrr,fingerprint_same_similarity,fingerprint_different_similarity,fingerprint_identity_gap,within_site_top1,within_site_same_dx_top1,topedge_sign_agreement,topedge_spearman,topedge_cosine,roi_signed_spearman,roi_absburden_spearman,selected_encoder_epoch,task_seconds,status
pearson_windowavg,internal_fold,1,0,89,0.5577507598784195,0.007379354483851658,89,0.9157303370786517,0.9775280898876404,0.9396602461209203,0.4492790642079343,0.15828938257922542,0.29098968162870886,0.9923076923076923,1.0,nan,nan,nan,nan,nan,nan,199.54613304138184,PASS
pearson_full,internal_fold,1,0,89,0.5577507598784195,0.007379354483851658,89,0.9157303370786517,0.9775280898876404,0.9396602461209203,0.4492790642079343,0.15828938257922542,0.29098968162870886,0.9923076923076923,1.0,nan,nan,nan,nan,nan,nan,199.54613304138184,PASS
varconet_selected,internal_fold,1,0,89,0.6940222897669706,0.0048054380042840406,89,1.0,1.0,1.0,0.369372627206063,0.09598475104814777,0.27338787615791527,1.0,1.0,nan,nan,nan,nan,nan,22.0,199.54613304138184,PASS
varconet_epoch50,internal_fold,1,0,89,0.6914893617021276,0.004681624892329345,89,1.0,1.0,1.0,0.3666208845176054,0.09011355179468544,0.27650733272291994,1.0,1.0,nan,nan,nan,nan,nan,50.0,199.54613304138184,PASS
pearson_windowavg,internal_fold,1,1,89,0.6767983789260384,0.007117267320562476,89,0.8595505617977528,0.9382022471910112,0.8988563402889245,0.4402003713538138,0.15592588398242188,0.28427448737139194,0.8727272727272727,0.921875,nan,nan,nan,nan,nan,nan,193.78489184379578,PASS
pearson_full,internal_fold,1,1,89,0.6767983789260384,0.007117267320562476,89,0.8595505617977528,0.9382022471910112,0.8988563402889245,0.4402003713538138,0.15592588398242188,0.28427448737139194,0.8727272727272727,0.921875,nan,nan,nan,nan,nan,nan,193.78489184379578,PASS
varconet_selected,internal_fold,1,1,89,0.75177304964539,0.005945316944948209,89,0.949438202247191,0.9775280898876404,0.9609448264919687,0.4439251051190194,0.21768700887508066,0.22623809624393873,0.9454545454545454,0.984375,nan,nan,nan,nan,nan,2.0,193.78489184379578,PASS
varconet_epoch50,internal_fold,1,1,89,0.7462006079027356,0.0037477731718232044,89,0.9887640449438202,1.0,0.9929775280898876,0.3475664844003956,0.09417268131657211,0.2533938030838235,0.990909090909091,1.0,nan,nan,nan,nan,nan,50.0,193.78489184379578,PASS
pearson_windowavg,internal_fold,1,2,88,0.7443064182194616,0.006344764284674204,88,0.8920454545454546,0.9772727272727273,0.9243958787661795,0.4311982788653536,0.1574325195179922,0.2737657593473614,0.9296875,0.926829268292683,nan,nan,nan,nan,nan,nan,192.5267632007599,PASS
pearson_full,internal_fold,1,2,88,0.7443064182194616,0.006344764284674204,88,0.8920454545454546,0.9772727272727273,0.9243958787661795,0.4311982788653536,0.1574325195179922,0.2737657593473614,0.9296875,0.926829268292683,nan,nan,nan,nan,nan,nan,192.5267632007599,PASS
varconet_selected,internal_fold,1,2,88,0.7427536231884058,0.0034203243373404635,88,1.0,1.0,1.0,0.3584472205151211,0.09463985383940243,0.2638073666757187,1.0,1.0,nan,nan,nan,nan,nan,37.0,192.5267632007599,PASS
varconet_epoch50,internal_fold,1,2,88,0.7406832298136646,0.0034138835821075075,88,1.0,1.0,1.0,0.35835767300291493,0.09417346043754544,0.2641842125653695,1.0,1.0,nan,nan,nan,nan,nan,50.0,192.5267632007599,PASS
pearson_windowavg,internal_fold,1,3,88,0.576086956521739,0.0010206358355097644,88,0.9375,0.9772727272727273,0.9563041125541125,0.45945830253714864,0.17403239293521233,0.2854259096019363,0.9693877551020408,0.96,nan,nan,nan,nan,nan,nan,192.52030324935913,PASS
pearson_full,internal_fold,1,3,88,0.576086956521739,0.0010206358355097644,88,0.9375,0.9772727272727273,0.9563041125541125,0.45945830253714864,0.17403239293521233,0.2854259096019363,0.9693877551020408,0.96,nan,nan,nan,nan,nan,nan,192.52030324935913,PASS
varconet_selected,internal_fold,1,3,88,0.6356107660455486,0.0011567521185109342,88,1.0,1.0,1.0,0.3708272237669338,0.10690060051453915,0.26392662325239463,1.0,1.0,nan,nan,nan,nan,nan,27.0,192.52030324935913,PASS
varconet_epoch50,internal_fold,1,3,88,0.6387163561076604,0.001162966271327781,88,1.0,1.0,1.0,0.36789929985322734,0.10243755254078006,0.2654617473124473,1.0,1.0,nan,nan,nan,nan,nan,50.0,192.52030324935913,PASS
pearson_windowavg,internal_fold,1,4,88,0.6640786749482401,0.0016146196397439638,88,0.8920454545454546,0.9715909090909092,0.925990896729533,0.4588408437980847,0.1562537852837394,0.3025870585143453,0.9454545454545454,0.9444444444444444,nan,nan,nan,nan,nan,nan,192.8535099029541,PASS
pearson_full,internal_fold,1,4,88,0.6640786749482401,0.0016146196397439638,88,0.8920454545454546,0.9715909090909092,0.925990896729533,0.4588408437980847,0.1562537852837394,0.3025870585143453,0.9454545454545454,0.9444444444444444,nan,nan,nan,nan,nan,nan,192.8535099029541,PASS
varconet_selected,internal_fold,1,4,88,0.6180124223602484,0.0018987016669446133,88,0.9943181818181819,1.0,0.9971590909090908,0.39442827603356406,0.12035578931584495,0.2740724867177191,1.0,1.0,nan,nan,nan,nan,nan,28.0,192.8535099029541,PASS
varconet_epoch50,internal_fold,1,4,88,0.6211180124223602,0.001955380353899805,88,1.0,1.0,1.0,0.3890951949764382,0.11264584115034898,0.2764493538260892,1.0,1.0,nan,nan,nan,nan,nan,50.0,192.8535099029541,PASS
pearson_windowavg,internal_fold,1,5,88,0.6222106901920083,0.0024613215269569944,88,0.875,0.9659090909090909,0.9171705898268399,0.4734115901995789,0.17577062398892906,0.29764096621064984,0.9017857142857143,0.875,nan,nan,nan,nan,nan,nan,192.5284345149994,PASS
pearson_full,internal_fold,1,5,88,0.6222106901920083,0.0024613215269569944,88,0.875,0.9659090909090909,0.9171705898268399,0.4734115901995789,0.17577062398892906,0.29764096621064984,0.9017857142857143,0.875,nan,nan,nan,nan,nan,nan,192.5284345149994,PASS
varconet_selected,internal_fold,1,5,88,0.7016087182148417,0.0021134230384377006,88,1.0,1.0,1.0,0.366367878053676,0.10363764470212489,0.2627302333515511,1.0,1.0,nan,nan,nan,nan,nan,25.0,192.5284345149994,PASS
varconet_epoch50,internal_fold,1,5,88,0.6959003632589518,0.002014445635951989,88,1.0,1.0,1.0,0.363639367913658,0.09886452631575768,0.2647748415979003,1.0,1.0,nan,nan,nan,nan,nan,50.0,192.5284345149994,PASS
pearson_windowavg,internal_fold,1,6,88,0.5599377270368449,0.004772912476348784,88,0.9204545454545454,0.9659090909090909,0.9456439393939394,0.46186289665373886,0.16283672321833603,0.29902617343540283,0.9423076923076923,0.8846153846153846,nan,nan,nan,nan,nan,nan,190.50517010688782,PASS
pearson_full,internal_fold,1,6,88,0.5599377270368449,0.004772912476348784,88,0.9204545454545454,0.9659090909090909,0.9456439393939394,0.46186289665373886,0.16283672321833603,0.29902617343540283,0.9423076923076923,0.8846153846153846,nan,nan,nan,nan,nan,nan,190.50517010688782,PASS
varconet_selected,internal_fold,1,6,88,0.6683964711987546,0.00035862359857807835,88,0.9943181818181819,1.0,0.9971590909090908,0.3575670810585672,0.08864938517506434,0.2689176958835029,1.0,1.0,nan,nan,nan,nan,nan,42.0,190.50517010688782,PASS
varconet_epoch50,internal_fold,1,6,88,0.6694343539180073,0.00038276779618634516,88,0.9943181818181819,1.0,0.9971590909090908,0.35790515487844293,0.08881122625981289,0.26909392861863,1.0,1.0,nan,nan,nan,nan,nan,50.0,190.50517010688782,PASS
pearson_windowavg,internal_fold,1,7,88,0.5879605604566684,0.004354311050223714,88,0.875,0.9431818181818181,0.9062996372535523,0.4390218487348069,0.1551641669168606,0.28385768181794624,0.896551724137931,0.8269230769230769,nan,nan,nan,nan,nan,nan,194.20018243789673,PASS
pearson_full,internal_fold,1,7,88,0.5879605604566684,0.004354311050223714,88,0.875,0.9431818181818181,0.9062996372535523,0.4390218487348069,0.1551641669168606,0.28385768181794624,0.896551724137931,0.8269230769230769,nan,nan,nan,nan,nan,nan,194.20018243789673,PASS
varconet_selected,internal_fold,1,7,88,0.7275557861961598,0.0027056357759587812,88,1.0,1.0,1.0,0.3507351279258728,0.08691694209824852,0.2638181858276243,1.0,1.0,nan,nan,nan,nan,nan,49.0,194.20018243789673,PASS
varconet_epoch50,internal_fold,1,7,88,0.7275557861961598,0.0027057446102095595,88,1.0,1.0,1.0,0.35073672387410293,0.0869174634338558,0.2638192604402471,1.0,1.0,nan,nan,nan,nan,nan,50.0,194.20018243789673,PASS
pearson_windowavg,internal_fold,1,8,88,0.5064867669953295,0.001568075447519135,88,0.9090909090909091,0.9715909090909092,0.9351749965720554,0.4348417882892219,0.16680697336229655,0.2680348149269253,0.96875,0.9523809523809523,nan,nan,nan,nan,nan,nan,192.36945819854736,PASS
pearson_full,internal_fold,1,8,88,0.5064867669953295,0.001568075447519135,88,0.9090909090909091,0.9715909090909092,0.9351749965720554,0.4348417882892219,0.16680697336229655,0.2680348149269253,0.96875,0.9523809523809523,nan,nan,nan,nan,nan,nan,192.36945819854736,PASS
