repeat,epoch,is_selected,scope,fingerprint_top1,identity_gap,disease_axis_auc,disease_geometry_gap,split_half_disease_cosine,n_identity_subjects,n_disease_subjects,status
4,1,False,internal_train,nan,nan,nan,0.003999065617367792,0.4181488697230816,0,882,PASS
4,1,False,caltech,nan,nan,0.6842105263157895,nan,nan,0,37,PASS
4,1,False,abide2,0.9634974533106961,0.26179182739273216,0.6609029484029485,nan,nan,589,727,PASS
4,5,False,internal_train,nan,nan,nan,0.003578301506526438,0.3874198186397553,0,882,PASS
4,5,False,caltech,nan,nan,0.672514619883041,nan,nan,0,37,PASS
4,5,False,abide2,0.9787775891341257,0.27326476643017206,0.6691492628992629,nan,nan,589,727,PASS
4,10,False,internal_train,nan,nan,nan,0.003048254808990236,0.3483385565876961,0,882,PASS
4,10,False,caltech,nan,nan,0.6812865497076024,nan,nan,0,37,PASS
4,10,False,abide2,0.9940577249575552,0.2825251405861757,0.6801980958230958,nan,nan,589,727,PASS
4,20,False,internal_train,nan,nan,nan,0.0028849235375993376,0.3323076748847961,0,882,PASS
4,20,False,caltech,nan,nan,0.7397660818713451,nan,nan,0,37,PASS
4,20,False,abide2,0.9957555178268251,0.2886129540529583,0.684551597051597,nan,nan,589,727,PASS
4,30,False,internal_train,nan,nan,nan,0.0027686967691713804,0.3240134312212467,0,882,PASS
4,30,False,caltech,nan,nan,0.7514619883040937,nan,nan,0,37,PASS
4,30,False,abide2,0.9966044142614601,0.2913356588614792,0.6844057125307126,nan,nan,589,727,PASS
4,40,False,internal_train,nan,nan,nan,0.0027242597940004,0.3214964556694031,0,882,PASS
4,40,False,caltech,nan,nan,0.7660818713450294,nan,nan,0,37,PASS
4,40,False,abide2,0.9966044142614601,0.29244555510869263,0.6843519656019657,nan,nan,589,727,PASS
4,50,False,internal_train,nan,nan,nan,0.0027195042702136962,0.3210218850523233,0,882,PASS
4,50,False,caltech,nan,nan,0.760233918128655,nan,nan,0,37,PASS
4,50,False,abide2,0.9966044142614601,0.29267986334076124,0.6841984029484028,nan,nan,589,727,PASS
4,47,True,internal_train,nan,nan,nan,0.002719878092697886,0.32105953231453893,0,882,PASS
4,47,True,caltech,nan,nan,0.760233918128655,nan,nan,0,37,PASS
4,47,True,abide2,0.9966044142614601,0.2926743610615595,0.6842367936117936,nan,nan,589,727,PASS
5,0,False,internal_train,nan,nan,nan,0.0038995100463036225,0.4205207622051239,0,882,PASS
5,0,False,caltech,nan,nan,0.6491228070175439,nan,nan,0,37,PASS
5,0,False,abide2,0.9592529711375213,0.26052540090443543,0.6582386363636363,nan,nan,589,727,PASS
5,1,False,internal_train,nan,nan,nan,0.0038864531635275368,0.4188482564687729,0,882,PASS
5,1,False,caltech,nan,nan,0.6491228070175439,nan,nan,0,37,PASS
5,1,False,abide2,0.9617996604414262,0.26166418597786745,0.6586686117936117,nan,nan,589,727,PASS
