method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,selected_classifier_epoch,selected_residual_epoch,threshold_hc,dynamic_dim,window_tokens,min_valid_tokens,mean_valid_tokens,min_windows,mean_windows,max_windows,mean_node_switch,mean_node_deviation,n_test,status
stable_dynamic_residual,internal_fold,1,9,0.7950181629475869,0.5709235886616336,0.7333333333333334,0.7291126102750389,34.0,17.0,9.0,0.47589775919914246,774.0,15.0,93.53866666666667,121.66000020345052,5.658666666666667,7.404000003814697,9.488,0.35914988787968954,0.24711376098791757,88,PASS
baseline,internal_oof,1,all,0.7252908851680813,0.610146541783674,0.6652314316469322,0.6464977683754289,36.2,37.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,882,PASS
stable_dynamic_residual,internal_oof,1,all,0.7270916643017467,0.6086226566924102,0.6584269662921347,0.6570779907639122,30.3,37.4,71.2,nan,774.0,15.0,93.53866666666667,121.57053355305989,5.658666666666667,7.395600007502239,9.488,0.3616168449004491,0.24974081364075343,882,PASS
baseline,caltech,1,external,0.5877192982456141,0.6742196443456162,0.5405405405405405,0.5409356725146199,29.0,22.0,nan,0.504520058631897,nan,nan,nan,nan,nan,nan,nan,nan,nan,37,PASS
baseline,abide2,1,external,0.7415911209014658,0.6038843137798825,0.7479289940828402,0.6969838176734728,29.0,22.0,nan,0.504520058631897,nan,nan,nan,nan,nan,nan,nan,nan,nan,726,PASS
stable_dynamic_residual,caltech,1,external,0.5760233918128654,0.6892149284109284,0.5641025641025641,0.5394736842105263,29.0,22.0,58.0,0.5481695532798767,774.0,15.0,94.28653624856156,122.40161148615618,5.7054085155350975,7.447640978151416,9.558112773302646,0.35471968107585666,0.24411096045762404,37,PASS
stable_dynamic_residual,abide2,1,external,0.725632158234039,0.6125521518676865,0.7262443438914027,0.6498347877658223,29.0,22.0,58.0,0.5481695532798767,774.0,15.0,94.28653624856156,122.40161148615618,5.7054085155350975,7.447640978151416,9.558112773302646,0.35471968107585666,0.24411096045762404,726,PASS
baseline,internal_fold,2,0,0.7304964539007093,0.6012729887681187,0.68,0.6355116514690984,33.0,34.0,nan,0.5146708488464355,nan,nan,nan,nan,nan,nan,nan,nan,nan,89,PASS
stable_dynamic_residual,internal_fold,2,0,0.7279635258358663,0.6056282513738698,0.7307692307692306,0.6780648429584599,33.0,34.0,57.0,0.5280236601829529,774.0,15.0,93.53866666666667,121.77866684977214,5.658666666666667,7.408000019073486,9.488,0.356108021179835,0.24442872254053752,89,PASS
baseline,internal_fold,2,1,0.815096251266464,0.5389044241171201,0.7252747252747254,0.7201114488348531,21.0,53.0,nan,0.4294130504131317,nan,nan,nan,nan,nan,nan,nan,nan,nan,89,PASS
stable_dynamic_residual,internal_fold,2,1,0.8090172239108409,0.5439753844591584,0.7142857142857143,0.7358156028368794,21.0,53.0,67.0,0.3911079168319702,774.0,15.0,93.53866666666667,121.40933353678385,5.658666666666667,7.385333329518636,9.488,0.3600983624458313,0.24811171785990396,89,PASS
baseline,internal_fold,2,2,0.69824016563147,0.6526711857807065,0.6788990825688073,0.5926501035196687,36.0,34.0,nan,0.5274521112442017,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,2,2,0.6889233954451346,0.6734597251427143,0.6530612244897959,0.6097308488612836,36.0,34.0,144.0,0.4400004744529724,774.0,15.0,93.53866666666667,121.99466664632162,5.658666666666667,7.422666662851969,9.488,0.3763582473595937,0.26959206962585447,88,PASS
baseline,internal_fold,2,3,0.7810559006211181,0.587015076628588,0.6493506493506493,0.7003105590062111,37.0,21.0,nan,0.42446234822273254,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,2,3,0.7810559006211181,0.587015076628588,0.6493506493506493,0.7003105590062111,37.0,21.0,0.0,0.42446234822273254,774.0,15.0,93.53866666666667,121.64400028483072,5.658666666666667,7.401333349863688,9.488,0.36022230339050293,0.24887934756278993,88,PASS
baseline,internal_fold,2,4,0.7148033126293996,0.6055291401804666,0.6315789473684211,0.6894409937888198,12.0,17.0,nan,0.3994411826133728,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,2,4,0.7127329192546584,0.6039292137579495,0.625,0.6645962732919255,12.0,17.0,6.0,0.4124900996685028,774.0,15.0,93.53866666666667,121.57866707356771,5.658666666666667,7.397333343505859,9.488,0.3539063721497854,0.24295451315244038,88,PASS
baseline,internal_fold,2,5,0.7545407368967306,0.5944704773333847,0.6868686868686869,0.6421899325376232,14.0,21.0,nan,0.4978809058666229,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,2,5,0.7555786196159834,0.5922695594590967,0.6868686868686869,0.6421899325376232,14.0,21.0,6.0,0.4919969141483307,774.0,15.0,93.53866666666667,121.60266674804687,5.658666666666667,7.397333330790202,9.488,0.3967384119033813,0.2791931706269582,88,PASS
baseline,internal_fold,2,6,0.7052413077322263,0.6224436599924681,0.674698795180723,0.7003113648157758,40.0,23.0,nan,0.4165972173213959,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,2,6,0.7088738972496108,0.6215737767890982,0.6909090909090909,0.5993772703684483,40.0,23.0,7.0,0.5864959359169006,774.0,15.0,93.53866666666667,121.42933365885416,5.658666666666667,7.383999998728434,9.488,0.3724019412994385,0.25928894718488055,88,PASS
baseline,internal_fold,2,7,0.6969382459782044,0.6218428051431868,0.6666666666666666,0.6743642968344576,32.0,26.0,nan,0.43831804394721985,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,2,7,0.7109496626881162,0.6174270468837084,0.6190476190476191,0.6424494032174364,32.0,26.0,43.0,0.43662384152412415,774.0,15.0,93.53866666666667,121.21866662597657,5.658666666666667,7.370666664123535,9.488,0.3537412453492482,0.24300418313344319,88,PASS
baseline,internal_fold,2,8,0.7021276595744681,0.6196068893377953,0.6363636363636364,0.6393357550596783,27.0,22.0,nan,0.4434633255004883,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,2,8,0.7021276595744681,0.6196068893377953,0.6363636363636364,0.6393357550596783,27.0,22.0,0.0,0.4434633255004883,774.0,15.0,93.53866666666667,121.4773334757487,5.658666666666667,7.39066667175293,9.488,0.3545012118816376,0.24318338151772817,88,PASS
baseline,internal_fold,2,9,0.6486766995329528,0.652387775309338,0.6153846153846154,0.6027503892060198,30.0,19.0,nan,0.4861973226070404,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,2,9,0.654903995848469,0.6512240197239869,0.6222222222222222,0.6149455111572393,30.0,19.0,11.0,0.4821721315383911,774.0,15.0,93.53866666666667,121.58400008138021,5.658666666666667,7.39733335240682,9.488,0.3568539534409841,0.24562075599034627,88,PASS
baseline,internal_oof,2,all,0.7261061376125486,0.6095248147402591,0.6659267480577137,0.6597533603364206,28.2,27.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,882,PASS
stable_dynamic_residual,internal_oof,2,all,0.7246613864451381,0.6115274270620839,0.6652078774617068,0.6531926420886974,28.2,27.0,34.1,nan,774.0,15.0,93.53866666666667,121.57173349812827,5.658666666666667,7.395466672261556,9.488,0.3640930070400238,0.2524256809194883,882,PASS
baseline,caltech,2,external,0.6900584795321637,0.6214834056813221,0.6842105263157895,0.6754385964912281,24.0,41.0,nan,0.47712039947509766,nan,nan,nan,nan,nan,nan,nan,nan,nan,37,PASS
baseline,abide2,2,external,0.730099435428589,0.6067044991850117,0.6870229007633588,0.6608489367110058,24.0,41.0,nan,0.47712039947509766,nan,nan,nan,nan,nan,nan,nan,nan,nan,726,PASS
stable_dynamic_residual,caltech,2,external,0.6900584795321637,0.6214834056813221,0.6842105263157895,0.6754385964912281,24.0,41.0,0.0,0.47712039947509766,774.0,15.0,94.28653624856156,122.57537420380376,5.7054085155350975,7.461449950693392,9.558112773302646,0.3619651140771609,0.24988594771254596,37,PASS
stable_dynamic_residual,abide2,2,external,0.730099435428589,0.6067044991850117,0.6870229007633588,0.6608489367110058,24.0,41.0,0.0,0.47712039947509766,774.0,15.0,94.28653624856156,122.57537420380376,5.7054085155350975,7.461449950693392,9.558112773302646,0.3619651140771609,0.24988594771254596,726,PASS
