method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,selected_classifier_epoch,selected_residual_epoch,threshold_hc,dynamic_dim,window_tokens,min_valid_tokens,mean_valid_tokens,min_windows,mean_windows,max_windows,mean_edge_switch,std_edge_switch,dynamic_head_l2,task_seconds,n_test,status
baseline,internal_fold,1,9,0.7913855734302024,0.5716904971672997,0.7422680412371133,0.7122470160871821,34.0,17.0,nan,0.5119727849960327,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,279.04353737831116,88,PASS
pretransformer_edge_residual,internal_fold,1,9,0.7913855734302024,0.5716904969769663,0.7422680412371133,0.7122470160871821,34.0,17.0,0.0,0.5119727849960327,73536.0,15.0,93.53866666666667,121.66000020345052,5.658666666666667,7.404000003814697,9.488,0.3135083472728729,0.12488212976853053,0.0,279.04353642463684,88,PASS
baseline,internal_oof,1,all,0.7253166842960708,0.6100314786899217,0.665948275862069,0.6477025876525373,36.2,37.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,882,PASS
pretransformer_edge_residual,internal_oof,1,all,0.7202394159077423,0.6137953594320769,0.6723044397463003,0.64649518846263,36.2,37.0,1.7,nan,73536.0,15.0,93.53866666666667,121.57053355305989,5.658666666666667,7.395600007502239,9.488,0.27736005333860714,0.11092789730280636,nan,nan,882,PASS
baseline,caltech,1,external,0.5877192982456141,0.6761222497591156,0.5,0.5146198830409356,29.0,22.0,nan,0.491696298122406,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,252.3460500240326,37,PASS
baseline,abide2,1,external,0.7409595403325812,0.6040965831590055,0.7356881851400732,0.6954587816656783,29.0,22.0,nan,0.491696298122406,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,252.3460500240326,726,PASS
pretransformer_edge_residual,caltech,1,external,0.6461988304093568,0.6558350536645254,0.6666666666666667,0.6476608187134503,29.0,22.0,5.0,0.5135929584503174,73536.0,15.0,94.28653624856156,122.40161148615618,5.7054085155350975,7.447640978151416,9.558112773302646,0.3311530169875493,0.1256821125025579,0.06344309449195862,252.34604859352112,37,PASS
pretransformer_edge_residual,abide2,1,external,0.7380481079540641,0.603532175872939,0.7378190255220418,0.6759298483436414,29.0,22.0,5.0,0.5135929584503174,73536.0,15.0,94.28653624856156,122.40161148615618,5.7054085155350975,7.447640978151416,9.558112773302646,0.3311530169875493,0.1256821125025579,0.06344309449195862,252.34604859352112,726,PASS
baseline,internal_fold,2,0,0.7304964539007092,0.6013420278781587,0.68,0.6355116514690984,33.0,34.0,nan,0.513870894908905,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,398.22433614730835,89,PASS
pretransformer_edge_residual,internal_fold,2,0,0.7304964539007092,0.6013420286532376,0.68,0.6355116514690984,33.0,34.0,0.0,0.513870894908905,73536.0,15.0,93.53866666666667,121.77866684977214,5.658666666666667,7.408000019073486,9.488,0.32366891225179034,0.1259643249710401,0.0,398.2243330478668,89,PASS
baseline,internal_fold,2,1,0.815096251266464,0.5384154695556994,0.7311827956989247,0.7188449848024316,21.0,53.0,nan,0.44563665986061096,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,325.38784670829773,89,PASS
pretransformer_edge_residual,internal_fold,2,1,0.814083080040527,0.5360683624623237,0.78,0.74822695035461,21.0,53.0,3.0,0.47190502285957336,73536.0,15.0,93.53866666666667,121.40933353678385,5.658666666666667,7.385333329518636,9.488,0.3315561232566834,0.12807141931851704,0.030846521258354187,325.38784527778625,89,PASS
baseline,internal_fold,2,2,0.69824016563147,0.6527140287758303,0.6788990825688073,0.5926501035196687,36.0,34.0,nan,0.5271471738815308,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,385.0871558189392,88,PASS
pretransformer_edge_residual,internal_fold,2,2,0.6718426501035197,0.7067529983773205,0.6902654867256638,0.5905797101449275,36.0,34.0,1.0,0.5335719585418701,73536.0,15.0,93.53866666666667,121.99466664632162,5.658666666666667,7.422666662851969,9.488,0.05769577577710152,0.030835834672053655,0.013558633625507355,385.0871534347534,88,PASS
baseline,internal_fold,2,3,0.7815734989648032,0.5872894833479889,0.6493506493506493,0.7003105590062111,37.0,21.0,nan,0.42236196994781494,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,355.8125126361847,88,PASS
pretransformer_edge_residual,internal_fold,2,3,0.7820910973084886,0.5847765447866387,0.6329113924050633,0.6765010351966874,37.0,21.0,1.0,0.4222746789455414,73536.0,15.0,93.53866666666667,121.64400028483072,5.658666666666667,7.401333349863688,9.488,0.3359156261285146,0.12885863465070724,0.013558640144765377,355.8125114440918,88,PASS
baseline,internal_fold,2,4,0.7153209109730849,0.6055326804925917,0.6315789473684211,0.6894409937888198,12.0,17.0,nan,0.39901643991470337,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,322.5334618091583,88,PASS
pretransformer_edge_residual,internal_fold,2,4,0.7153209109730849,0.6055326775557156,0.6315789473684211,0.6894409937888198,12.0,17.0,0.0,0.39901643991470337,73536.0,15.0,93.53866666666667,121.57866707356771,5.658666666666667,7.397333343505859,9.488,0.1831564295689265,0.08312753675381343,0.0,322.53346061706543,88,PASS
baseline,internal_fold,2,5,0.7560975609756098,0.5932370983552947,0.673469387755102,0.6315516346652829,14.0,21.0,nan,0.49669620394706726,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,293.750985622406,88,PASS
pretransformer_edge_residual,internal_fold,2,5,0.7560975609756098,0.593237100900229,0.673469387755102,0.6315516346652829,14.0,21.0,0.0,0.49669620394706726,73536.0,15.0,93.53866666666667,121.60266674804687,5.658666666666667,7.397333330790202,9.488,0.37925214409828184,0.14125594345728557,0.0,293.75098514556885,88,PASS
baseline,internal_fold,2,6,0.7057602490918526,0.6222465181050041,0.4761904761904763,0.6473793461338868,40.0,23.0,nan,0.3268372118473053,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,379.75532507896423,88,PASS
pretransformer_edge_residual,internal_fold,2,6,0.7099117799688635,0.6153563274275362,0.6875000000000001,0.6559418785677218,40.0,23.0,4.0,0.47634291648864746,73536.0,15.0,93.53866666666667,121.42933365885416,5.658666666666667,7.383999998728434,9.488,0.1159300144513448,0.057432497680187225,0.03356017917394638,379.7553243637085,88,PASS
baseline,internal_fold,2,7,0.6990140114167099,0.6217480079539737,0.6511627906976744,0.6637259989621173,32.0,26.0,nan,0.438615620136261,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,329.79304027557373,88,PASS
pretransformer_edge_residual,internal_fold,2,7,0.6990140114167099,0.6217480103104271,0.6511627906976744,0.6637259989621173,32.0,26.0,0.0,0.4386156499385834,73536.0,15.0,93.53866666666667,121.21866662597657,5.658666666666667,7.370666664123535,9.488,0.09326557064056397,0.04541422698895137,0.0,329.7930381298065,88,PASS
baseline,internal_fold,2,8,0.7000518941359626,0.6206491742317868,0.6363636363636364,0.6393357550596783,27.0,21.0,nan,0.43907395005226135,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,384.14512848854065,88,PASS
pretransformer_edge_residual,internal_fold,2,8,0.7130254281266217,0.6080039563010092,0.5882352941176471,0.6074208614426571,27.0,21.0,7.0,0.4493608772754669,73536.0,15.0,93.53866666666667,121.4773334757487,5.658666666666667,7.39066667175293,9.488,0.3428471455574036,0.12741357733805975,0.08721610903739929,384.1451268196106,88,PASS
