method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,threshold_hc,mean_identity_loss,mean_prototype_loss,prototype_active,mean_min_prototype_occupancy,mean_max_prototype_occupancy,n_test,status
treatment,internal_fold,2,7,0.7187337830825116,0.6219473804979068,0.7083333333333333,0.6787752983912818,11.0,0.4908648431301117,0.13141181689221412,0.9931376065810521,6.0,8.156666666666666,12.6025,88,PASS
baseline,internal_fold,2,8,0.7389724961079398,0.6068255793708888,0.6881720430107526,0.6696938245978205,41.0,0.4713539481163025,0.059367397408932446,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,2,8,0.654903995848469,0.6580711255830567,0.5977011494252874,0.6058640373637779,9.0,0.4434463679790497,0.08080601205738883,0.9410380455851555,6.0,8.381666666666666,12.369166666666667,88,PASS
baseline,internal_fold,2,9,0.6637259989621173,0.6428167948230232,0.5569620253164557,0.6120913336792942,43.0,0.4279106557369232,0.05083563765898968,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,2,9,0.6367410482615464,0.6611524079115333,0.5813953488372093,0.5952257394914375,6.0,0.49801790714263916,0.08570898117963224,0.9590962908665339,6.0,8.2775,12.544166666666667,88,PASS
baseline,caltech,2,external,0.6637426900584795,0.6629433886417752,0.7027027027027027,0.7032163742690059,43.0,0.4560340642929077,0.05187718420954687,nan,0.0,nan,nan,37,PASS
baseline,abide2,2,external,0.7280021498771498,0.6085468889898953,0.6795865633074936,0.6605958230958231,43.0,0.4560340642929077,0.05187718420954687,nan,0.0,nan,nan,727,PASS
treatment,caltech,2,external,0.6228070175438596,0.6743991840511688,0.5789473684210527,0.5672514619883041,26.0,0.5136956572532654,0.08244753395739411,0.9222374748332159,6.0,7.9992857142857146,12.584285714285715,37,PASS
treatment,abide2,2,external,0.7242552211302211,0.6162275619601799,0.7210718635809988,0.6792613636363636,26.0,0.5136956572532654,0.08244753395739411,0.9222374748332159,6.0,7.9992857142857146,12.584285714285715,727,PASS
baseline,internal_oof,2,all,0.7280978302933361,0.6092194374784153,0.6737967914438503,0.6529217512448079,36.1,nan,0.07526284424945091,nan,0.0,nan,nan,882,PASS
treatment,internal_oof,2,all,0.7078764737751864,0.6219668847226346,0.6517857142857143,0.64757359201259,23.2,nan,0.0989889216229009,0.966494888027509,6.0,8.3375,12.469833333333334,882,PASS
baseline,internal_fold,3,0,0.8125633232016211,0.517374550212498,0.7578947368421053,0.7401215805471124,43.0,0.4315509498119354,0.049138815707992764,nan,0.0,nan,nan,89,PASS
treatment,internal_fold,3,0,0.7938196555217832,0.5373567963736666,0.7446808510638298,0.729483282674772,14.0,0.43122243881225586,0.0759597549540922,1.0137040280302365,6.0,8.316666666666666,12.459166666666667,89,PASS
baseline,internal_fold,3,1,0.6656534954407295,0.6378848577382948,0.5957446808510638,0.5716818642350557,37.0,0.5156586170196533,0.06364367557301497,nan,0.0,nan,nan,89,PASS
treatment,internal_fold,3,1,0.6808510638297872,0.6301112057886804,0.6407766990291263,0.5772543059777102,37.0,0.543341875076294,0.0936773688858375,0.9890847583611806,6.0,8.373333333333333,12.534166666666666,89,PASS
baseline,internal_fold,3,2,0.7142857142857142,0.6256563181851525,0.5974025974025974,0.6547619047619048,42.0,0.4037202000617981,0.05494591804919764,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,3,2,0.6868530020703933,0.6488846690781345,0.41791044776119407,0.568840579710145,12.0,0.3355650007724762,0.08507381884070735,0.9669081616401672,6.0,8.159166666666666,12.611666666666666,88,PASS
baseline,internal_fold,3,3,0.6728778467908904,0.661677131634116,0.5185185185185185,0.5615942028985507,18.0,0.38634005188941956,0.06001690189819783,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,3,3,0.665631469979296,0.6624136373225369,0.6530612244897959,0.6097308488612836,18.0,0.48616501688957214,0.09322675962311526,0.9297351203362147,6.0,8.484166666666667,12.3275,88,PASS
baseline,internal_fold,3,4,0.813664596273292,0.5578626130791864,0.7857142857142856,0.7163561076604554,34.0,0.6148303747177124,0.04951632670437296,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,3,4,0.7251552795031057,0.6472547495017865,0.5384615384615383,0.5973084886128365,32.0,0.45495089888572693,0.07927256435311089,0.9666108956933022,6.0,8.514166666666666,12.244166666666667,88,PASS
baseline,internal_fold,3,5,0.7841203943954334,0.56305865102413,0.6753246753246753,0.727815256875973,46.0,0.3609575033187866,0.13991871748740475,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,3,5,0.7514270887389725,0.5832192419537072,0.7254901960784313,0.6741048261546445,11.0,0.5403774976730347,0.1584715099648262,1.0349868177374204,6.0,8.441666666666666,12.366666666666667,88,PASS
baseline,internal_fold,3,6,0.7348209652309289,0.6110945145329197,0.7058823529411765,0.6512714063310846,15.0,0.511961817741394,0.057227257410995665,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,3,6,0.7223663725998962,0.6222338431811206,0.7339449541284404,0.6572392319667878,5.0,0.5451483726501465,0.08428054605921109,0.9915574387709299,6.0,8.394166666666667,12.441666666666666,88,PASS
baseline,internal_fold,3,7,0.7462376751427089,0.5902526906919559,0.7191011235955055,0.7184743124026984,47.0,0.4433440864086151,0.059383699223399165,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,3,7,0.7176959003632589,0.6142882643000698,0.6436781609195402,0.6515308770108977,48.0,0.468976229429245,0.08357839242555201,0.9560204710563024,6.0,8.181666666666667,12.65,88,PASS
baseline,internal_fold,3,8,0.7768552153606643,0.5848734828025136,0.7169811320754716,0.6481577581733264,22.0,0.49506446719169617,0.051585400691255924,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,3,8,0.7239231966787752,0.6098563055756065,0.711111111111111,0.7062791904514789,22.0,0.46753042936325073,0.0767636912316084,0.9289516431093215,6.0,8.305,12.544166666666667,88,PASS
baseline,internal_fold,3,9,0.6367410482615464,0.6758767076207318,0.6185567010309279,0.5752464971458225,25.0,0.49063917994499207,0.05326288348762318,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,3,9,0.6683964711987546,0.6976863241990342,0.7090909090909091,0.6222106901920083,25.0,0.6038758158683777,0.08074768014252186,0.9398366004228592,6.0,8.0675,12.634166666666667,88,PASS
baseline,caltech,3,external,0.6257309941520468,0.6935628046775513,0.5714285714285715,0.5102339181286549,22.0,0.611638605594635,0.05517504804634622,nan,0.0,nan,nan,37,PASS
baseline,abide2,3,external,0.7457693488943489,0.5927880858181566,0.75,0.6530789312039311,22.0,0.611638605594635,0.05517504804634622,nan,0.0,nan,nan,727,PASS
treatment,caltech,3,external,0.6783625730994152,0.6469858172848556,0.6511627906976745,0.5906432748538011,6.0,0.5863490700721741,0.08675220252812973,0.9806756670985903,6.0,8.173571428571428,12.593571428571428,37,PASS
treatment,abide2,3,external,0.7303286240786242,0.6086799546553077,0.7439824945295405,0.6567529176904177,6.0,0.5863490700721741,0.08675220252812973,0.9806756670985903,6.0,8.173571428571428,12.593571428571428,727,PASS
baseline,internal_oof,3,all,0.7336704419390625,0.6025046178569646,0.6752688172043011,0.6566703645416785,32.9,nan,0.06386395962334548,nan,0.0,nan,nan,882,PASS
treatment,internal_oof,3,all,0.7073398519130052,0.625236180592182,0.6631130063965885,0.6402053610587962,22.4,nan,0.09110520864805828,0.9717395935157935,6.0,8.323749999999999,12.481333333333334,882,PASS
baseline,internal_fold,4,0,0.6828774062816616,0.6414417196977601,0.6732673267326733,0.6236068895643364,9.0,0.5297326445579529,0.05777357253789281,nan,0.0,nan,nan,89,PASS
treatment,internal_fold,4,0,0.6773049645390071,0.6441646868468246,0.6326530612244897,0.591691995947315,9.0,0.49939876794815063,0.08659899724336961,0.9567926199237505,6.0,8.198333333333334,12.585833333333333,89,PASS
baseline,internal_fold,4,1,0.7041540020263425,0.6236445492677027,0.5333333333333333,0.6175278622087133,45.0,0.3166804611682892,0.07236903871099154,nan,0.0,nan,nan,89,PASS
treatment,internal_fold,4,1,0.7016210739614995,0.62169073632799,0.7289719626168223,0.6648936170212766,14.0,0.5818852186203003,0.09320676952290038,0.984209527472655,6.0,8.0625,12.610833333333334,89,PASS
baseline,internal_fold,4,2,0.722567287784679,0.6073665317229421,0.4477611940298507,0.5916149068322981,40.0,0.30915915966033936,0.05578332749661058,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,4,2,0.6418219461697723,0.6548862209160586,0.5869565217391305,0.5672877846790891,40.0,0.44136616587638855,0.09126871726475656,0.9298706066608429,6.0,8.478333333333333,12.311666666666667,88,PASS
baseline,internal_fold,4,3,0.739648033126294,0.6119867624774898,0.7070707070707071,0.6661490683229814,46.0,0.4531761109828949,0.06583092763554305,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,4,3,0.743271221532091,0.6075945168167025,0.7326732673267325,0.687888198757764,46.0,0.48966002464294434,0.09730639008805156,0.9418945836027464,6.0,8.354166666666666,12.415833333333333,88,PASS
baseline,internal_fold,4,4,0.7515527950310559,0.60202304692527,0.5675675675675675,0.644927536231884,22.0,0.39847037196159363,0.05255143344091873,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,4,4,0.7204968944099378,0.6306395515239619,0.39344262295081966,0.59472049689441,3.0,0.36594805121421814,0.0835969697466741,0.8865806928277016,6.0,8.284166666666666,12.446666666666667,88,PASS
baseline,internal_fold,4,5,0.628956927867151,0.6654675515161622,0.6470588235294118,0.5827711468604048,4.0,0.5276273488998413,0.053982737673601754,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,4,5,0.65334717176959,0.6564602099228156,0.5853658536585366,0.6211728074727556,4.0,0.4259093701839447,0.08580822632958492,0.9883617110053698,6.0,8.370833333333334,12.409166666666666,88,PASS
baseline,internal_fold,4,6,0.7898287493513232,0.5668865975865462,0.7216494845360825,0.6894135962636222,23.0,0.4780190587043762,0.05269269690693667,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,4,6,0.8111053450960041,0.5492024912010844,0.7032967032967034,0.6940840685002594,19.0,0.4224357604980469,0.08554349458621194,0.9659686969717344,6.0,8.238333333333333,12.5525,88,PASS
baseline,internal_fold,4,7,0.7986507524649715,0.5729328898191021,0.7555555555555555,0.751946030098599,9.0,0.451223224401474,0.048442400661297146,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,4,7,0.7898287493513233,0.5748378698424245,0.7555555555555555,0.751946030098599,9.0,0.4438871145248413,0.07399693812864522,0.9599689527352651,6.0,8.390833333333333,12.474166666666667,88,PASS
baseline,internal_fold,4,8,0.7566165023352361,0.5979058673723916,0.7083333333333333,0.6787752983912818,37.0,0.4282003939151764,0.04878097773684809,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,4,8,0.7405293201868188,0.620439702500552,0.7407407407407407,0.6694343539180072,7.0,0.5398163795471191,0.08099312372505665,0.979834086894989,6.0,8.440833333333334,12.348333333333333,88,PASS
baseline,internal_fold,4,9,0.7337830825116762,0.5903664453889209,0.7346938775510204,0.7000518941359626,45.0,0.5427091717720032,0.05441998099597792,nan,0.0,nan,nan,88,PASS
